fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,Id
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,0
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,5,1
7.8,0.76,0.04,2.3,0.092,15,54,0.997,3.26,0.65,9.8,5,2
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,3
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,4
7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5,5
7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,5,6
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,7
7.8,0.58,0.02,2,0.073,9,18,0.9968,3.36,0.57,9.5,7,8
6.7,0.58,0.08,1.8,0.097,15,65,0.9959,3.28,0.54,9.2,5,10
5.6,0.615,0,1.6,0.089,16,59,0.9943,3.58,0.52,9.9,5,12
7.8,0.61,0.29,1.6,0.114,9,29,0.9974,3.26,1.56,9.1,5,13
8.5,0.28,0.56,1.8,0.092,35,103,0.9969,3.3,0.75,10.5,7,16
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,19
7.6,0.39,0.31,2.3,0.082,23,71,0.9982,3.52,0.65,9.7,5,21
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,22
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,23
6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6,24
6.3,0.39,0.16,1.4,0.08,11,23,0.9955,3.34,0.56,9.3,5,25
7.6,0.41,0.24,1.8,0.08,4,11,0.9962,3.28,0.59,9.5,5,26
7.1,0.71,0,1.9,0.08,14,35,0.9972,3.47,0.55,9.4,5,28
7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,6,29
6.7,0.675,0.07,2.4,0.089,17,82,0.9958,3.35,0.54,10.1,5,30
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,32
5.2,0.32,0.25,1.8,0.103,13,50,0.9957,3.38,0.55,9.2,5,34
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,35
7.8,0.6,0.14,2.4,0.086,3,15,0.9975,3.42,0.6,10.8,6,36
8.1,0.38,0.28,2.1,0.066,13,30,0.9968,3.23,0.73,9.7,7,37
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,40
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,4,41
7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6,42
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,43
4.6,0.52,0.15,2.1,0.054,8,65,0.9934,3.9,0.56,13.1,4,45
7.7,0.935,0.43,2.2,0.114,22,114,0.997,3.25,0.73,9.2,5,46
8.8,0.66,0.26,1.7,0.074,4,23,0.9971,3.15,0.74,9.2,5,50
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,51
6.6,0.5,0.04,2.1,0.068,6,14,0.9955,3.39,0.64,9.4,6,52
8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5,53
7.6,0.51,0.15,2.8,0.11,33,73,0.9955,3.17,0.63,10.2,6,54
10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5,56
7.8,0.59,0.18,2.3,0.076,17,54,0.9975,3.43,0.59,10,5,58
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,59
8.8,0.4,0.4,2.2,0.079,19,52,0.998,3.44,0.64,9.2,5,60
7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,5,61
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,63
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,64
7.2,0.725,0.05,4.65,0.086,4,11,0.9962,3.41,0.39,10.9,5,65
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,67
8,0.705,0.05,1.9,0.074,8,19,0.9962,3.34,0.95,10.5,6,69
7.7,0.69,0.22,1.9,0.084,18,94,0.9961,3.31,0.48,9.5,5,72
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4,73
8.8,0.41,0.64,2.2,0.093,9,42,0.9986,3.54,0.66,10.5,5,76
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,77
6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5,78
8.3,0.625,0.2,1.5,0.08,27,119,0.9972,3.16,1.12,9.1,4,79
6.2,0.45,0.2,1.6,0.069,3,15,0.9958,3.41,0.56,9.2,5,80
7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5,82
6.3,0.3,0.48,1.8,0.069,18,61,0.9959,3.44,0.78,10.3,6,84
6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5,85
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,86
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,87
9.3,0.39,0.44,2.1,0.107,34,125,0.9978,3.14,1.22,9.5,5,88
7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5,89
7.9,0.52,0.26,1.9,0.079,42,140,0.9964,3.23,0.54,9.5,5,90
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,6,91
7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5,93
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,4,94
6.8,0.775,0,3,0.102,8,23,0.9965,3.45,0.56,10.7,5,96
7.6,0.9,0.06,2.5,0.079,5,10,0.9967,3.39,0.56,9.8,5,98
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,99
8.3,0.61,0.3,2.1,0.084,11,50,0.9972,3.4,0.61,10.2,6,100
8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6,102
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,103
7.2,0.49,0.24,2.2,0.07,5,36,0.996,3.33,0.48,9.4,5,104
8.1,0.575,0.22,2.1,0.077,12,65,0.9967,3.29,0.51,9.2,5,105
7.8,0.41,0.68,1.7,0.467,18,69,0.9973,3.08,1.31,9.3,5,106
6.2,0.63,0.31,1.7,0.088,15,64,0.9969,3.46,0.79,9.3,5,107
